Barrio,DESTINO,cantidad_ocio_comercio,cantidad_oficinas,cantidad_residencial,centros_docentes,distancia_al_mar,nivel_socio_economico,Valor/m2_predicho
FLORIDA ALTA,INDUSTRIAL,0.9918542423624339,0.0038452073335791667,0.6331775718422001,0.043478260869565216,0.6055681155818586,0.16388209725618041,0.6993421164192997
FLORIDA ALTA,OCIO-HOSTELERIA,0.9918542423624339,0.0038452073335791667,0.6331775718422001,0.043478260869565216,0.6055681155818586,0.16388209725618041,0.6832946160602147
FLORIDA ALTA,OFICINA,0.9918542423624339,0.0038452073335791667,0.6331775718422001,0.043478260869565216,0.6055681155818586,0.16388209725618041,0.5945427445057945
FLORIDA ALTA,PUERTOS COMERC.,0.9918542423624339,0.0038452073335791667,0.6331775718422001,0.043478260869565216,0.6055681155818586,0.16388209725618041,0.6597923736001325
FLORIDA ALTA,RELIGIOSO,0.9918542423624339,0.0038452073335791667,0.6331775718422001,0.043478260869565216,0.6055681155818586,0.16388209725618041,0.6832946160602147
FLORIDA ALTA,RESIDENCIAL,0.9918542423624339,0.0038452073335791667,0.6331775718422001,0.043478260869565216,0.6055681155818586,0.16388209725618041,0.7057733423835404
FLORIDA ALTA,"SANIDAD,BENEF.",0.9918542423624339,0.0038452073335791667,0.6331775718422001,0.043478260869565216,0.6055681155818586,0.16388209725618041,0.6454369103077493
FLORIDA ALTA,SOLARES,0.9918542423624339,0.0038452073335791667,0.6331775718422001,0.043478260869565216,0.6055681155818586,0.16388209725618041,0.7446938528315274
FLORIDA BAJA,COMERCIO,0.6584588394090857,0.008370834672666668,0.6094617676108648,0.17391304347826086,0.6697872517234661,0.34813909263787013,0.5501024616457191
FLORIDA BAJA,CULTURAL,0.6584588394090857,0.008370834672666668,0.6094617676108648,0.17391304347826086,0.6697872517234661,0.34813909263787013,0.6343327856536602
FLORIDA BAJA,DEPORTIVO,0.6584588394090857,0.008370834672666668,0.6094617676108648,0.17391304347826086,0.6697872517234661,0.34813909263787013,0.6310738200426769
